,imdbTitleId,clusterId,avgVote
0,0000574,4,6.1
1,0000009,2,5.9
2,0002461,4,5.5
3,0002199,0,5.7
4,0002445,7,6.2
5,0002646,4,6.6
6,0003131,4,6.5
7,0002844,8,7.0
8,0003102,4,6.2
9,0003165,8,7.0
10,0003167,7,5.8
11,0003037,8,7.0
12,0003489,7,6.2
13,0002101,7,5.2
14,0003643,7,6.4
15,0003772,0,6.0
16,0003419,5,6.5
17,0003883,8,7.5
18,0003740,1,7.1
19,0003930,8,6.9
20,0004026,4,6.8
21,0003973,1,5.8
22,0004066,4,7.0
23,0004134,7,6.6
24,0004150,0,5.8
25,0004181,1,6.1
26,0002423,8,6.8
27,0004457,0,5.5
28,0004681,0,6.1
29,0004712,1,6.3
30,0004825,0,6.4
31,0004766,7,5.6
32,0004838,6,5.7
33,0003657,6,6.5
34,0004873,6,6.2
35,0004872,6,6.6
36,0004972,1,6.3
37,0005060,7,6.4
38,0004099,0,5.2
39,0005149,1,6.0
40,0004635,7,5.7
41,0005557,6,6.6
42,0005078,7,6.6
43,0005402,7,6.4
44,0004465,0,6.3
45,0005339,1,5.8
46,0005680,7,5.9
47,0002130,0,7.0
48,0005719,0,5.6
49,0005809,0,6.1
50,0005916,6,6.9
51,0006327,6,5.9
52,0006517,1,6.0
53,0006333,6,6.2
54,0006206,8,7.3
55,0006509,0,4.5
56,0006731,0,5.3
57,0005960,6,6.8
58,0006736,7,6.6
59,0006753,1,6.6
60,0006745,7,5.7
61,0006809,1,5.9
62,0006780,1,6.8
63,0006826,0,5.6
64,0007257,7,4.7
65,0007047,6,6.0
66,0007260,0,6.5
67,0006864,1,7.8
68,0007309,4,5.6
69,0007338,0,6.4
70,0006589,0,6.8
71,0007361,1,6.2
72,0007340,6,6.8
73,0006886,4,7.4
74,0007367,0,5.3
75,0006688,7,6.4
76,0007558,0,6.3
77,0008309,2,6.7
78,0007755,1,6.0
79,0007801,0,6.5
80,0008150,7,6.5
81,0008499,0,6.1
82,0007610,6,5.9
83,0008634,7,6.2
84,0008188,0,5.9
85,0008443,2,6.7
86,0008196,1,5.7
87,0008489,7,6.4
88,0008775,7,6.4
89,0008930,7,6.0
90,0008854,4,5.5
91,0009062,4,6.2
92,0009086,6,5.4
93,0008950,4,6.0
94,0008687,6,6.1
95,0009150,1,6.4
96,0009241,6,5.1
97,0009326,0,6.5
98,0009014,4,5.9
99,0009356,1,5.2
100,0009369,0,5.9
101,0009608,7,5.1
102,0009559,2,6.1
103,0009440,2,6.4
104,0009475,7,4.4
105,0009611,2,7.3
106,0008827,0,5.8
107,0009682,7,5.7
108,0009796,0,6.8
109,0009878,9,7.0
110,0009701,8,7.0
111,0009737,1,5.9
112,0009915,7,7.1
113,0009937,0,7.0
114,0009893,0,7.2
115,0009976,7,5.7
116,0010040,0,6.5
117,0010060,6,5.9
118,0010137,7,5.4
119,0010103,1,5.3
120,0010193,3,5.8
121,0010195,7,6.8
122,0010162,1,6.5
123,0010208,4,5.6
124,0010227,0,5.6
125,0010247,6,7.3
126,0010267,6,6.7
127,0010281,4,6.9
128,0010323,5,8.1
129,0010307,4,7.7
130,0009894,2,7.1
131,0008891,0,7.0
132,0010456,1,6.0
133,0010635,0,5.2
134,0010418,0,7.0
135,0010466,0,6.6
136,0010680,1,6.3
137,0010806,0,7.0
138,0010662,1,4.9
139,0010844,1,6.6
140,0010879,3,6.9
141,0010964,0,6.4
142,0010925,1,5.5
143,0010962,9,6.6
